Date,Open,High,Low,Close,Adj Close,Volume
2014-03-17,59.150002,59.200001,58.900002,59.049999,50.573055,8939000
2014-03-18,59.400002,59.500000,59.200001,59.400002,50.872810,14826000
2014-03-19,59.400002,59.450001,58.950001,59.250000,50.744343,9829000
2014-03-20,58.700001,58.700001,58.299999,58.500000,50.102005,18453000
2014-03-21,58.650002,58.650002,58.400002,58.500000,50.102005,4128000
2014-03-24,58.450001,58.650002,58.250000,58.650002,50.230476,11333000
2014-03-25,58.500000,59.150002,58.500000,59.150002,50.658695,4869000
2014-03-26,59.450001,59.700001,59.349998,59.700001,51.129745,9956000
2014-03-27,59.500000,59.849998,59.450001,59.799999,51.215385,11221000
2014-03-28,59.849998,60.099998,59.799999,59.900002,51.301029,20135000
2014-03-31,60.049999,60.150002,59.900002,60.099998,51.472317,17122000
2014-04-01,60.250000,60.599998,60.200001,60.599998,51.900539,28803000
2014-04-02,60.799999,61.150002,60.799999,60.799999,52.071831,19084000
2014-04-03,60.799999,60.950001,60.650002,60.650002,51.943359,12604000
2014-04-07,60.400002,60.500000,60.299999,60.500000,51.814899,11366000
2014-04-08,60.450001,60.900002,60.450001,60.799999,52.071831,13990000
2014-04-09,60.799999,61.099998,60.799999,61.000000,52.243118,12051000
2014-04-10,61.250000,61.299999,60.900002,61.200001,52.414410,13453000
2014-04-11,60.799999,61.150002,60.799999,61.150002,52.371590,14992000
2014-04-14,61.099998,61.200001,60.900002,61.049999,52.285934,13386000
2014-04-15,61.200001,61.450001,61.200001,61.349998,52.542870,13882000
2014-04-16,61.349998,61.500000,61.099998,61.299999,52.500050,7041000
2014-04-17,61.299999,61.400002,61.099998,61.150002,52.371590,3526000
2014-04-18,61.750000,61.900002,61.500000,61.549999,52.714165,7055000
2014-04-21,61.450001,61.650002,61.450001,61.549999,52.714165,3394000
2014-04-22,61.549999,61.950001,61.549999,61.750000,52.885448,9125000
2014-04-23,61.849998,62.049999,61.500000,61.650002,52.799809,5477000
2014-04-24,61.700001,61.799999,61.599998,61.750000,52.885448,4513000
2014-04-25,61.650002,61.799999,60.599998,60.700001,51.986183,22883000
2014-04-28,60.299999,61.500000,60.299999,61.250000,52.457230,8466000
2014-04-29,61.250000,61.500000,61.099998,61.349998,52.542870,6500000
2014-04-30,61.400002,61.450001,60.799999,61.000000,52.243118,5569000
2014-05-02,61.150002,61.650002,61.150002,61.299999,52.500050,7623000
2014-05-05,61.549999,61.599998,61.000000,61.200001,52.414410,6838000
2014-05-06,61.500000,61.750000,61.099998,61.549999,52.714165,10308000
2014-05-07,61.500000,61.599998,61.200001,61.400002,52.585697,7874000
2014-05-08,61.599998,61.849998,61.400002,61.849998,52.971096,3805000
2014-05-09,61.700001,61.849998,61.450001,61.450001,52.628513,3930000
2014-05-12,61.500000,61.500000,61.099998,61.150002,52.371590,3929000
2014-05-13,61.599998,61.750000,61.349998,61.450001,52.628513,5607000
2014-05-14,61.599998,61.799999,61.450001,61.799999,52.928268,10731000
2014-05-15,61.750000,61.849998,61.549999,61.750000,52.885448,8894000
2014-05-16,61.650002,61.849998,61.400002,61.849998,52.971096,9113000
2014-05-19,61.849998,62.000000,61.799999,61.849998,52.971096,7159000
2014-05-20,61.900002,62.299999,61.900002,62.099998,53.185207,9938000
2014-05-21,62.000000,62.200001,61.750000,61.799999,52.928268,6508000
2014-05-22,62.000000,62.650002,61.950001,62.650002,53.656254,14651000
2014-05-23,62.849998,62.900002,62.650002,62.750000,53.741898,13440000
2014-05-26,62.849998,63.099998,62.849998,63.049999,53.998829,8636000
2014-05-27,63.049999,63.200001,62.950001,63.099998,54.041656,8023000
2014-05-28,63.150002,63.799999,63.150002,63.700001,54.555523,11632000
2014-05-29,63.700001,63.700001,63.400002,63.400002,54.298588,9534000
2014-05-30,63.400002,63.450001,63.099998,63.099998,54.041656,6686000
2014-06-03,63.150002,63.450001,62.799999,63.150002,54.084480,5106000
2014-06-04,63.400002,63.549999,63.299999,63.400002,54.298588,3385000
2014-06-05,63.299999,63.400002,63.099998,63.400002,54.298588,1694000
2014-06-06,63.650002,63.750000,63.400002,63.549999,54.427052,3478000
2014-06-09,63.599998,63.849998,63.599998,63.799999,54.641163,3887000
2014-06-10,63.849998,64.300003,63.849998,64.199997,54.983734,6833000
2014-06-11,64.199997,64.250000,64.050003,64.150002,54.940922,5027000
2014-06-12,64.000000,64.099998,63.900002,64.000000,54.812454,4496000
2014-06-13,63.900002,63.900002,63.700001,63.849998,54.683983,3314000
2014-06-16,63.849998,64.000000,63.599998,63.900002,54.726810,2582000
2014-06-17,63.900002,64.449997,63.849998,64.349998,55.112209,3843000
2014-06-18,64.400002,64.800003,64.300003,64.500000,55.240677,9523000
2014-06-19,64.650002,65.050003,64.550003,64.949997,55.626072,9925000
2014-06-20,64.949997,65.099998,64.699997,64.750000,55.454784,3542000
2014-06-23,64.800003,65.000000,64.599998,64.699997,55.411961,13731000
2014-06-24,64.849998,65.050003,64.699997,64.800003,55.497608,7955000
2014-06-25,64.650002,64.800003,64.599998,64.650002,55.369141,7495000
2014-06-26,64.750000,65.400002,64.750000,65.349998,55.968647,9201000
2014-06-27,65.349998,65.349998,64.500000,65.349998,55.968647,9219000
2014-06-30,65.300003,66.000000,65.199997,65.949997,56.482521,7569000
2014-07-01,65.949997,66.750000,65.849998,66.550003,56.996391,9585000
2014-07-02,66.800003,67.550003,66.650002,67.099998,57.467426,11627000
2014-07-03,67.099998,67.800003,66.900002,67.699997,57.981300,8099000
2014-07-04,67.800003,67.900002,67.349998,67.699997,57.981300,7063000
2014-07-07,67.500000,67.699997,67.300003,67.599998,57.895653,5504000
2014-07-08,67.800003,67.900002,67.599998,67.750000,58.024117,5499000
2014-07-09,67.650002,67.849998,67.500000,67.849998,58.109760,3125000
2014-07-10,67.800003,68.449997,67.800003,68.349998,58.537987,5618000
2014-07-11,68.349998,68.699997,68.150002,68.300003,58.495171,7792000
2014-07-14,68.250000,68.800003,68.250000,68.699997,58.837738,3069000
2014-07-15,68.949997,69.050003,68.750000,68.949997,59.051849,3949000
2014-07-16,68.949997,69.000000,68.099998,68.349998,58.537987,4990000
2014-07-17,67.949997,68.000000,67.300003,67.500000,57.810009,7991000
2014-07-18,67.050003,67.599998,67.000000,67.500000,57.810009,6363000
2014-07-21,67.750000,67.949997,67.500000,67.500000,57.810009,5298000
2014-07-22,67.699997,68.199997,67.500000,68.099998,58.323872,4145000
2014-07-23,null,null,null,null,null,null
2014-07-24,68.300003,68.400002,68.099998,68.400002,58.580814,3821000
2014-07-25,68.400002,68.400002,67.449997,67.650002,57.938480,5538000
2014-07-28,67.449997,67.800003,67.300003,67.500000,57.810009,2758000
2014-07-29,67.750000,67.949997,67.199997,67.449997,57.767189,7197000
2014-07-30,67.449997,67.949997,67.449997,67.849998,58.109760,2795000
2014-07-31,67.849998,67.849998,66.599998,66.750000,57.167675,11115000
2014-08-01,null,null,null,null,null,null
2014-08-04,66.199997,66.699997,66.099998,66.599998,57.039207,3741000
2014-08-05,66.400002,66.400002,65.099998,65.250000,55.883007,19556000
2014-08-06,65.300003,65.750000,65.050003,65.699997,56.268410,6844000
